text	created_at	public_metrics	Google_Translation	village	region	district
Gudoomiyaha Guddiga Doorashooyinka heer Federaal ee Soomaaliya ayaa war ka soo saaray Xildhibaanada https://t.co/zDcIQFeg5y	2022-04-03T14:13:11.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	The Chairman of the Federal Electoral Commission of Somalia issued a statement to the MPs https://t.co/zDcIQFeg5y	[]	[]	[]
Talaabooyinka ay qaadeen gudiga doorashooyinka heer Federal maal-mihii ina soo dhaafay waxay u muuqaataa mid loogu gurmanaayo dowlad nimada waana mid waa faqsan sharciyad masuliyedeed ka gudiga oo ah howshii loo igmaday inay ka soo baxaan oo ayna cidna kaga amar qaadan shaqodooda	2022-04-03T13:30:00.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	The steps taken by the Federal Electoral Commission (FEC) over the past few days appear to be in defense of the state and are in line with the commission&#39;s mandate to carry out its mandate without overseeing its work.	[]	[]	[]
"Guddiga doorashooyinka Heer federaal,ayaa   maalintii 2-aad wada bixinta shahaadada xildhibaanimo si habsami leh.

Maanta,waxaa qaatay Xildhibaano laga soo doortay maamulka KGS oo kalsoonidii kala laabtay Gudiga Doorashooyinka heer Fadaraal. https://t.co/jRxjgldiVa"	2022-04-03T11:37:52.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	The Federal Electoral Commission (FEC) on the 2nd day of the issuance of the parliamentary certificates in an orderly manner ... Today, it was adopted by MPs from the KGS administration who lost confidence in the Federal Electoral Commission. https://t.co/jRxjgldiVa	[]	[]	[]
waa marqaati nool oo cadeynaya xil. Cabdicasiis Laftagareen oo u dabaaldegaya faraxada qaadashada shahaadadii Xildhibaanimo ee baarlamaamkii 10aad, isaga oo ka guddoomaya mudane Siciid Jamac Qoorsheel oo markaas ahaa xubin ka mid ah guddigii doorashooyinka ee FEIT ee 2016-kii. https://t.co/GcySNqq2vp	2022-04-03T10:21:17.000Z	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	he is a living witness to a duty. Abdiaziz Laftagareen celebrates his graduation as a Member of Parliament for the 10th Parliament, in the presence of Mr. Said Jama Qorsheel, then a member of the 2016 FEIT Electoral Commission. https://t.co/GcySNqq2vp	[]	[]	[]
Guddoomiyaha Guddiga Hirgelinta Doorashooyinka Heer Federaal ee FEITMuuse Geelle Yuusuf ayaa ka warbixiyay howlaha shahaado bixinta halka ay umareyso iyo tiradii xildhibaanada labada aqal ee qaatay. https://t.co/XxvBbaBDvs	2022-04-03T09:33:41.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	FEIT Federal Electoral Implementation Committee Chairman Muse Guelleh Yusuf reported on the progress of the certification process and the number of members in both houses. https://t.co/XxvBbaBDvs	[]	[]	[]
"Wararkii Ugu Danbeeyey: 

Guddiga doorashooyinka heer Federaal ayaa weli Magaalada Muqdisho ka wada bixinta shahaado siinta Xildhibaanada cusub. 

Sheekh Aadan Maxamed Nuur (Aadan Madoobe) ayaa noqday Xildhibaankii ugu horreeyay ee kasoo jeeda Koonfur Galbeed ee qaatay shahaadada https://t.co/4FSOsuZ3Gc"	2022-04-03T08:39:32.000Z	{'retweet_count': 3, 'reply_count': 0, 'like_count': 3, 'quote_count': 1}	Latest News: . The Federal Electoral Commission (FEC) is still issuing certificates to new parliamentarians in Mogadishu. . . Sheikh Adan Mohamed Nur (Adan Madobe). becomes first South West MP to graduate https://t.co/4FSOsuZ3Gc	['Mogadishu']	['Togdheer', 'Banadir']	['Sheikh', 'Banadir']
"@MohamoudGaildon @AbdiwahabSheik7 @SaidAbdullahiDe @PresidentMadobe Waa kaa caqli badan yahay gudoomiyaha , gudiga doorashooyinka 
Mr geeldoon , hadaad somali ka naxeyso , halkaa ma aadan fadhideen ,
Abaaraha iyo dhibaatada sanaag ka taagan waxba qabo ,    adiga iyo Jamaal 
     Dhoobodaared gaar u tashada"	2022-04-03T08:29:03.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@MohamoudGaildon @ AbdiwahabSheik7 @SaidAbdullahiDe @PresidentMadobe You are smarter than the chairman, the electoral commission. Mr Geeldoon, if you are worried about Somalis, you are not sitting there. Drought and the crisis in Sanaag do nothing, you and Jamaal. Clay for personal use	[]	['Sanaag']	[]
"Gudoomiyihii hore ee Baarlamaanka #somalia Sheekh Adan (Madoobe) oo  ah Musharrax utaagan xilka Gudoomiyaha Baarlamaanka #2022 #2025 ayaa noqdey Xildhibaankii ugu horeeyey ee kasoo jeedo KG oo qaata Shahaadada Gudiga Doorashooyinka xeer qaran   ee FEIT.
 @Muhamedsarmani https://t.co/y22TqJ3oJj"	2022-04-03T07:35:14.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	Former Speaker of the #Somalia Parliament Sheikh Adan (Madobe). Candidate for Speaker of Parliament # 2022 # 2025 becomes the first MP from KG to receive the FEIT National Electoral Certificate .. @Muhamedsarmani https://t.co/y22TqJ3oJj	[]	['Togdheer']	['Sheikh']
Soomaalidii ugu badneyd oo kusoo baxday doorashooyinka golaha deegaanka ee dalka Holland Tiradii ugu badnayd oo ah Somalida deggan dalkaas Holland ayaa kusoo baxay kuraasta goleyaasha deegaanka kadib doorashadii dhacdey asbuucan, iyada oo xisbiyada Green… https://t.co/2HlMn1TdVL	2022-04-03T07:22:32.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Majority of Somalis in Dutch local council elections The largest number of Somalis in the Netherlands have won seats in local councils following this week&#39;s election, with the Green Party… https://t.co/2HlMn1TdVL	[]	[]	[]
Soomaalidii ugu badneyd oo mar kaliya loo doorto golaha deegaanka ee doorashooyinka dalka Holland  https://t.co/hiLxCqxnmN	2022-04-03T07:22:31.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Majority of Somalis elected to local council in Dutch elections https://t.co/hiLxCqxnmN	[]	[]	[]
"Guddiga doorashooyinka heer Federaal ee FEIT ayaa maalinkii labaad magaalada Muqdisho ka wado bixinta shahaadooyinka xildhibaanada baarlamaanka 11-aad.
Mas'uulliyiin uu kamid yahay xildhibaan Sheekh Aadan Madoobe ayaa saaka qaatay shahaadooyinkooda. https://t.co/4x0xY6r5va"	2022-04-03T06:51:23.000Z	{'retweet_count': 3, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}	The Federal Electoral Commission (FEIT) has been issuing certificates for the second day in Mogadishu. https://t.co/4x0xY6r5va	['Mogadishu']	['Banadir']	['Banadir']
Soomaalidii ugu badneyd oo kusoo baxday doorashooyinka golaha deegaanka ee dalka Holland https://t.co/3RWI5yRYo5	2022-04-03T05:30:33.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}	Majority of Somalis in Dutch local council elections https://t.co/3RWI5yRYo5	[]	[]	[]
Guddiga Doorashooyinka heer Federaal ee Soomaaliya ayaa maanta bilaabaya Bixinta ShaHaadada https://t.co/XhcpDGecOj	2022-04-02T19:42:15.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	The Federal Electoral Commission of Somalia will today begin issuing Certificates https://t.co/XhcpDGecOj	[]	[]	[]
Guddiga Doorashooyinka Qaranka hasii wadaan dhamistirka doorashada inkastoo Farmaajo uu ka shaqaynayo sidii aanay doorashadda Madaxweynaha dalka uga dhaci lahayn, wuxuna wadaa beegsi iyo shirqoollo dilal ah oo la doonayo siyaasiyinta mucaaradka ah. https://t.co/zfAnz0w8Lo	2022-04-02T18:53:06.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}	The National Electoral Commission (NEC) continues to finalize the election despite Farmajo&#39;s efforts to prevent the presidential election from taking place, and he has been carrying out targeted killings and conspiracies against opposition politicians. https://t.co/zfAnz0w8Lo	[]	[]	[]
Xildhibaan Mahad Salaad oo saakay qaatay shahaadada Xildhibaanimo oo ay bixinayeen guddiga doorashooyinka heer Federal ayaa bartiisa Facebook kusoo qoray cadeymo muujinaya in laga maarmi karo xildhibaanada ka socda dhanka Villa Soomaaliya ee diidan in shahaadada xildhibaanimo ay https://t.co/ODNnuhqVKV	2022-04-02T18:31:48.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	Lawmaker Mahad Salad, who received his parliamentary degree this morning from the Federal Electoral Commission, posted on his Facebook page evidence that lawmakers from the Villa Somalia faction are refusing to accept their parliamentary degree https://t.co/ODNnuhqVKV	[]	[]	[]
Guddiga Hirgelinta Doorashooyinka Heer Federaal ( FEIT ) ayaa maanta bilaabay bixinta Shahaadada Xildhibaanimo  ee labada Gole ee Baarlamaanka 11-aad. https://t.co/Xw6YgPQULU	2022-04-02T14:40:28.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Federal Election Implementation Committee (FEIT). has today started issuing Certificates of Parliament for both Houses of the 11th Parliament. https://t.co/Xw6YgPQULU	[]	[]	[]
Ra’iisul Wasaaraha XFS Maxamed Xuseen Rooble oo ayaa hambalyo u diray Guddiga Doorashooyinka Heer Federaal (FEIT) iyo guddoomiyehooda Muuse Geelle Yuusuf oo maanta bilaabay bixinta shahaadooyinka xildhibaannada la soo doortay ee baarlamaanka 11aad ee dalka. https://t.co/4j5vskQwUR	2022-04-02T14:39:41.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	FGS Prime Minister Mohamed Hussein Roble congratulates the Federal Electoral Commission (FEIT). and their chairman Muse Guelleh Yusuf who today started issuing certificates to the elected members of the 11th parliament of the country. https://t.co/4j5vskQwUR	[]	[]	[]
War-saxaafadeed kasoo baxay DG Koofur Galbeed Soomaaliya ayaa looga hadlay Mawqifkeeda ku aadan Doorashooyinka iyo Dhaarinta Xildhibaannada https://t.co/ns6Fr6UWNT	2022-04-02T14:38:59.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	A statement from DG South West Somalia discusses its position on the elections and the swearing in of MPs https://t.co/ns6Fr6UWNT	[]	[]	[]
Gudoomiyaha Guddiga doorashooyinka Heer Federaal Muuse Geelle @Doorashada2021  ayaa shahaadada xildhibaanimo maanta siiyay 54 Xildhibaan &amp; Senators oo aaday Xoghayeyaasha Golaha Shacabka &amp; Aqalka Sare ee Baarlamaanka 11aad ee Federaalka Dalka Somaliya https://t.co/CHAReY8hKB	2022-04-02T14:19:16.000Z	{'retweet_count': 4, 'reply_count': 0, 'like_count': 6, 'quote_count': 1}	Chairman of the Federal Electoral Commission Muse Guelleh @ Election 2021 today awarded 54 MPs &amp;. Senators go to Parliamentary Secretaries &amp;. Upper House of the 11th Federal Parliament of Somalia https://t.co/CHAReY8hKB	[]	[]	[]
Koonfur Galbeed oo kalsoonidii kala laabatay guddiga hirgelinta doorashooyinka heer federaal https://t.co/4mkFWYB3Xo	2022-04-02T14:09:18.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	South West loses confidence in Federal Election Implementation Committee https://t.co/4mkFWYB3Xo	[]	[]	[]
Dawlada federalka ayaa ka sugaynaa in ay ka fal celiso gudiga doorashooyinka   arinta ay ku dhaqaaqeen. Villa Somalia  maxeey la aamusan tahay. Beesha caalamka raisul wasaraha iyo mucaaradka  ayaa u muuqda hadda kuwa guul gaaray  howshana ay  u socoto  sida ayaga rabeen.	2022-04-02T13:11:22.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	We are waiting for the federal government to respond to the election commission. Why is Villa Somalia silent? The international community, the prime minister and the opposition, now appear to have succeeded and the process is on track.	[]	[]	[]
Guddiga Hirgelinta Doorashooyinka Heer Federaal ayaa maanta bilaabay bixinta shahaadada Xubnaha Labada Aqal ee Baarlamaanka 11aad, iyadoo illaa hadda ay qaateen Xildhibaannada iyo Senatarada ka soo jeeda Hirshabelle, Jubbaland, Galmudug, Gobolada Waqooyi iyo Banaadiriga https://t.co/RkAxBtsSTT	2022-04-02T11:09:45.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	The Federal Electoral Commission (FEC) has today started issuing certificates to members of both houses of the 11th Parliament, with MPs and Senators from HirShabelle, Jubbaland, Galmudug, Northern and Benadir Regions receiving https://t.co/RkAxBtsSTT	[]	['Jubbaland']	[]
Sabti, April, 02, 2022 (HOL) - Madaxtooyada maamulka Hirshabeelle oo war kasoo saartay go'aankii guddiga doorashooyinka heer Fedaraal ee FEIT ay kaga reebeen kursiga tirsigiisu yahay HOP 086 tirada Xidhibaanadda cusub, kaasoo ay sheegeen maamulka Hirshabeelle inuu ka mid yahay https://t.co/NEpsBkvONM	2022-04-02T10:17:25.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	Saturday, April, 02, 2022 (HOL). - The presidency of the Hirshabelle administration announces the decision of the Federal Electoral Commission (FEIT) to exclude HOP 086 from the new parliament, which the Hirshabelle administration says includes https://t.co/NEpsBkvONM	[]	[]	[]
Ra’iisul Wasaaraha XFS Maxamed Xuseen Rooble oo ayaa hambalyo u diray Guddiga Doorashooyinka Heer Federaal (FEIT) iyo guddoomiyehooda Muuse Geelle Yuusuf oo maanta bilaabay bixinta shahaadooyinka xildhibaannada la soo doortay ee baarlamaanka 11aad ee dalka. https://t.co/rrQsWodblb	2022-04-02T10:00:29.000Z	{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	FGS Prime Minister Mohamed Hussein Roble congratulates the Federal Electoral Commission (FEIT). and their chairman Muse Guelleh Yusuf who today started issuing certificates to the elected members of the 11th parliament of the country. https://t.co/rrQsWodblb	[]	[]	[]
# https://t.co/25OZus0BoB	2022-04-02T09:18:05.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	# https://t.co/25OZus0BoB	[]	[]	[]
Hambalyo Guddiga Doorashooyinka Heer Federaal (FEIT) iyo guddoomiyehooda Muuse Geelle Yuusuf oo maanta bilaabay bixinta shahaaddooyinka xildhibaannada la soo doortay ee baarlamaanka 11aad ee dalka. https://t.co/qN8whEVU29	2022-04-02T08:56:45.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Congratulations to the Federal Electoral Commission (FEIT). and their chairman Muse Guelleh Yusuf who today started issuing certificates to the elected members of the 11th parliament of the country. https://t.co/qN8whEVU29	[]	[]	[]
Rooble oo ka hadlay tilaabada ay qaadeen Guddiga doorashooyinka Heer federal https://t.co/okM3dwIyLE	2022-04-02T08:03:16.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Roble discusses the action taken by the Federal Electoral Commission https://t.co/okM3dwIyLE	[]	[]	[]
Guddiga doorashooyinka heer federaal ayaa maanta bilaabay bixinta shahaadada rasmiga ee xildhibaanimo. https://t.co/0J2oVubk8e	2022-04-02T07:58:38.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	The Federal Electoral Commission (FEC) has today begun issuing official credentials. https://t.co/0J2oVubk8e	[]	[]	[]
Rooble oo ka hadlay tilaabada ay qaadeen Guddiga doorashooyinka Heer federal https://t.co/jjQDhxm0Tt	2022-04-02T07:58:23.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Roble discusses the action taken by the Federal Electoral Commission https://t.co/jjQDhxm0Tt	[]	[]	[]
Rooble oo ka hadlay tilaabada ay qaadeen Guddiga doorashooyinka Heer federal https://t.co/XoEmArtdjv	2022-04-02T07:58:22.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Roble discusses the action taken by the Federal Electoral Commission https://t.co/XoEmArtdjv	[]	[]	[]
Hirshabeelle oo ka hortimid tilaabooyinka Guddiga Hirgalinta Doorashooyinka ee FEIT# https://t.co/sEo9tKXLe7	2022-04-02T07:41:35.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Hirshabelle opposes the actions of the FEIT Electoral Implementation Committee # https://t.co/sEo9tKXLe7	[]	[]	[]
Rooble oo ka hadlay tilaabada ay qaadeen Guddiga doorashooyinka Heer federal - https://t.co/rh6mdEYYeW https://t.co/3OLCYfL2YM	2022-04-02T07:34:16.000Z	{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}	Roble discusses the action taken by the Federal Electoral Commission - https://t.co/rh6mdEYYeW https://t.co/3OLCYfL2YM	[]	[]	[]
Guddiga doorashooyinka Heer federal ayaa bilaabay bixinta shahaadada Rasmiga ah ee la siinayo xildhibaanada laba gole ee barlamaanka 11aad kuwaasi oo dhawaan lasoo doortay. Saakay oo jadwalka uu ahaa in la bilaabo qaadashada shahaadada xildhibaanada ayaa… https://t.co/HWAvJOp82U	2022-04-02T07:27:59.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	The Federal Electoral Commission (FEC) has begun issuing official certificates to the newly elected members of the 11th bicameral parliament. This morning the schedule for the graduation of the parliamentarians ayaa https://t.co/HWAvJOp82U	[]	[]	[]
RW Mohamed H Rooble ayaa u hambalyeeyay Guddiga Doorashooyinka Heer Federaal (FEIT) iyo guddoomiyehooda Muuse Geelle Yuusuf oo maanta bilaabay bixinta shahaaddooyinka xildhibaannada la soo doortay ee baarlamaanka 11aad ee dalka. https://t.co/ON5A5uBntq	2022-04-02T07:26:59.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Prime Minister Mohamed H Roble congratulated the Federal Electoral Commission (FEIT). and their chairman Muse Guelleh Yusuf who today started issuing certificates to the elected members of the 11th parliament of the country. https://t.co/ON5A5uBntq	[]	[]	[]
K/Galbeed oo ka hadashay mowqifkeeda la xiriira doorashooyinka &amp; dhaarinta Xildhibaannada https://t.co/AAzdEZZPsg	2022-04-02T06:51:22.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	K / Galbeed discusses its position on elections &amp;. Oath of Office https://t.co/AAzdEZZPsg	['Galbeed']	['Gedo']	['Garbahaarey']
K/Galbeed oo ka hadashay mowqifkeeda la xiriira doorashooyinka &amp; dhaarinta Xildhibaannada https://t.co/pfpPyEQIcA	2022-04-02T06:48:23.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	K / Galbeed discusses its position on elections &amp;. Oath of Office https://t.co/pfpPyEQIcA	['Galbeed']	['Gedo']	['Garbahaarey']
Hirshabeelle oo ka hortimid tilaabooyinka Guddiga Hirgalinta Doorashooyinka ee FEIT https://t.co/TmJ08i2WuB	2022-04-02T06:40:19.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Hirshabelle opposes actions of FEIT Electoral Implementation Committee https://t.co/TmJ08i2WuB	[]	[]	[]
Maanta oo Sabti ah Guddiga maamulka  doorashooyinka ee Hirshabeelle, waxaa lagu waddaa in ay qabtaan doorashada labo kursi oo ka mid ah kuraasta taala Magaalada Beledweyne ee xarunta Gobolka Hiiraan. https://t.co/YpdkCc1bcc	2022-04-02T06:34:30.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Hirshabelle Electoral Commission (SEC) is set to hold elections on Saturday for two of the seats in Beledweyne, the regional capital of Hiraan region. https://t.co/YpdkCc1bcc	[]	['Hiraan']	[]
Dowlad Goboleedka Hirshabeelle qoraal ay soo saartay ayey ku sheegtay in ay u gudbisay Gudiga Hirgalinta Doorashooyinka Heer Federaal ee ( FEIT) Xildhibaanada lagu soo doortay labada deegaan doorasho ee Hirshabeelle oo tiradooda guud ay https://t.co/XArWumPg9i	2022-04-02T06:33:17.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	The Hirshabelle Regional Government has issued a statement to the Federal Electoral Implementation Committee (FEIT). Parliamentarians elected in two constituencies in Hirshabelle https://t.co/XArWumPg9i	[]	[]	[]
@SomaliPM Yaa la dhaarinayaa?Ma inta kale ileen koonfur galbeed&amp; Hirshabeele waa ay idinku gacan seereen?Markii uu gudiga doorashooyinka isku  dayey in uu isbaaro u dhigto kuraasta qaarkood.Gudiga  FEIT wuu fashilmay.Wa og tihiin in xildhibaanada ugu badan ee baarlamanka ay kaso galaan KG.	2022-04-02T06:05:20.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	@SomaliPM Who will be sworn in? HirShabelle was ignored by you? When the electoral commission tried to block some seats. The FEIT committee failed. You know that most members of parliament are from KG.	[]	[]	[]
Guddiga hirgalinta doorashooyinka FEIT ayaa maanta shahaadada xildhibaanimada guddoonsiiyay xubno katirsan xildhibaanada 11aad ee Baarlamaanka Jamhuuriyadda federaalka #Soomaaliya. https://t.co/bNDnMm5FsY	2022-04-02T05:45:13.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	The Federal Electoral Commission (FEIT) has today awarded a certificate of membership to members of the 11th Parliament of the Federal Republic of #Somalia. https://t.co/bNDnMm5FsY	[]	[]	[]
Guddiga doorashooyinka heer federaal ee FEIT ayaa saaka oo sabti ah bilaabay bixinta shahaadooyinka xildhibaanada labada aqal. https://t.co/Jkb3LKArWs	2022-04-02T05:32:34.000Z	{'retweet_count': 2, 'reply_count': 0, 'like_count': 12, 'quote_count': 0}	The Federal Electoral Commission (FEIT) on Saturday morning began issuing certificates to members of both houses of parliament. https://t.co/Jkb3LKArWs	[]	[]	[]
Degdeg: Madaxweyne Cali Guudlaawe “Hirshabeele waxay gudida doorashooyinka heer Federal u gudbisay Xildhibaanadii kasoo baxay Hirshabeele oo uu kujiro kursiga Xildhibaan Fahad Yasin #Hop086. Kursigaas majirin cid dacwad kasoo gudbisay oo beeshii lahayd ah. https://t.co/8AmZAFB2b8	2022-04-02T05:32:30.000Z	{'retweet_count': 4, 'reply_count': 1, 'like_count': 17, 'quote_count': 0}	Urgent: President Ali Gudlawe “Hirshabele has submitted to the Federal Electoral Commission the MPs who left Hirshabele including the seat of MP Fahad Yasin # Hop086. The seat was not contested by the community. https://t.co/8AmZAFB2b8	[]	[]	[]
